Common Name,Latin Name,Group,ECV (cc),Body Mass (g),Source #
Eurasian jay,Garrulus glandarius,Bird,4.05,170.00,17
orange-winged amazon,Amazona amazonica,,8.29,338.00,18
song sparrow,Melospiza melodia,,1.06,21.00,19
swamp sparrow,Melospiza georgiana,,0.81,17.60,18
western scrub jay,Aphelocoma californica,,2.85,76.00,18
white carnea pigeon,Columba livia,,2.40,264.50,19
zebra finch,Taeniopygia guttata,,0.44,12.00,18
coyote,Canis latrans,Carnivore,85.16,10490.00,20
domestic dog,Canis familiaris,,86.96,21763.00,19
gray wolf,Canis lupus,,127.06,33110.00,20
Asian elephant,Elephas maximus,Elephant,4752.25,2977943.33,21
aye aye,Daubentonia madagascariensis,Primates,44.85,2555.00,5
black lemur,Eulemur macaco,,24.51,2390.00,5
bonobo,Pan paniscus,,341.29,39100.00,5
brown lemur,Eulemur fulvus,,25.77,2291.67,5
capuchin monkey,Cebus apella,,66.63,2935.93,5
chimpanzee,Pan troglodytes,,368.35,44966.67,5
Coquerel's sifaka,Propithecus coquereli,,26.21,2955.00,5
golden monkey,Rhinopithecus roxellana,,117.76,14750.00,5
golden-headed lion tamarin,Leontopithecus chrysomelas,,12.83,609.00,5
gorilla,Gorilla gorilla,,490.41,120950.00,5
hamadryas baboon,Papio hamadryas,,146.17,14150.00,5
long-tailed macaque,Macaca fascicularis,,63.98,4251.05,5
marmoset,Callithrix jacchus,,7.24,320.00,5
mongoose lemur,Eulemur mongoz,,20.17,1212.44,5
olive baboon,Papio anubis,,167.42,18150.00,5
orangutan,Pongo pygmaeus,,377.38,58542.25,5
red-bellied lemur,Eulemur rubriventer,,26.23,1960.00,5
rhesus macaque,Macaca mulatta,,88.98,6792.77,5
ring-tailed lemur,Lemur catta,,22.90,2210.00,5
ruffed lemur,Varecia variegata,,32.12,3575.00,5
spider monkey,Ateles geoffroyi,,105.09,7535.00,5
squirrel monkey,Saimiri sciureus,,24.14,799.00,5
stump-tailed macaque,Macaca arctoides,,100.70,10300.00,5
fox squirrel,Scurius niger,Rodent,8.72,786.00,"22,23"
Mongolian gerbil,Meriones unguiculatus,,1.13,51.00,"22,23"
