Explanatory Variable,Dependent Measure,t,df,p,r2,λ
Population Group Size,Cylinder score,-1.19,18,0.88,0.07,0.95
,A not B score,0.09,16,0.46,< 0.01,0.47
,Composite Score,-0.75,13,0.77,0.04,0.83
Foraging Group Size,Cylinder score,-1.27,18,0.89,0.08,0.96
,A not B score,-0.17,16,0.57,< 0.01,0.47
,Composite Score,-0.33,13,0.63,0.01,0.82
Percent Fruit in Diet,Cylinder score,1.46,17,0.08,0.11,0.93
,A not B score,-0.31,15,0.62,0.01,0.47
,Composite Score,0.11,13,0.46,< 0.01,0.85
Dietary Breadth,Cylinder score,3.35,17,< 0.01,0.40,0.63
,A not B score,3.44,15,< 0.01,0.44,0.41
,Composite Score,4.99,12,< 0.01,0.68,0.69
Social Learning,Cylinder score,5.37,13,< 0.01,0.69,0.00
,A not B score,1.60,12,0.14,0.18,0.00
,Composite Score,2.63,9,0.03,0.44,0.00
Innovation,Cylinder score,3.35,13,< 0.01,0.46,0.00
,A not B score,1.53,12,0.15,0.16,0.00
,Composite Score,1.99,9,0.08,0.31,0.00
Extractive Foraging,Cylinder score,3.13,13,< 0.01,0.43,0.55
,A not B score,2.26,12,0.04,0.30,0.00
,Composite Score,3.10,9,0.01,0.52,0.00
Tool Use,Cylinder score,5.92,13,< 0.01,0.73,0.00
,A not B score,1.67,12,0.12,0.19,0.00
,Composite Score,3.12,9,0.01,0.52,0.00
Tactical Deception,Cylinder score,5.20,13,< 0.01,0.68,0.00
,A not B score,3.19,12,< 0.01,0.46,0.00
,Composite Score,4.06,9,< 0.01,0.65,0.00
gs,Cylinder score,6.68,13,< 0.01,0.77,0.00
,A not B score,2.30,12,0.04,0.31,0.00
,Composite Score,3.61,9,< 0.01,0.59,0.00
PCA 1,Cylinder score,6.64,13,< 0.01,0.77,0.00
,A not B score,2.33,12,0.04,0.31,0.00
,Composite Score,3.61,9,< 0.01,0.59,0.00
Home Range,Cylinder score,-1.27,18,0.22,0.08,0.99
,A not B score,-0.78,15,0.45,0.04,0.56
,Composite Score,-0.83,13,0.42,0.05,0.89
Day Journey Length,Cylinder score,0.44,17,0.67,0.01,0.94
,A not B score,0.26,15,0.80,0.00,0.46
,Composite Score,-0.11,12,0.91,0.00,0.82
D-Index,Cylinder score,0.40,17,0.69,0.01,0.94
,A not B score,0.55,14,0.59,0.02,0.50
,Composite Score,0.30,12,0.77,0.01,0.78
Primary Substrate,Cylinder score,0.12,18,0.91,0.00,0.95
,A not B score,1.07,46,0.30,0.07,0.32
,Composite Score,0.38,13,0.71,0.01,0.83
